ENSG00000239900	ADSL
ENSG00000101901	ALG13
ENSG00000131089	ARHGEF9
ENSG00000004848	ARX
ENSG00000105409	ATP1A3
ENSG00000085224	ATRX
ENSG00000008086	CDKL5
ENSG00000173575	CHD2
ENSG00000101204	CHRNA4
ENSG00000160716	CHRNB2
ENSG00000174469	CNTNAP2
ENSG00000181090	EHMT1
ENSG00000176165	FOXG1
ENSG00000166206	GABRB3
ENSG00000183454	GRIN2A
ENSG00000273079	GRIN2B
ENSG00000075043	KCNQ2
ENSG00000107147	KCNT1
ENSG00000198954	KIAA1279
ENSG00000108231	LGI1
ENSG00000187391	MAGI2
ENSG00000204406	MBD5
ENSG00000169057	MECP2
ENSG00000081189	MEF2C
ENSG00000179915	NRXN1
ENSG00000165194	PCDH19
ENSG00000182621	PLCB1
ENSG00000039650	PNKP
ENSG00000140521	POLG
ENSG00000167371	PRRT2
ENSG00000144285	SCN1A
ENSG00000136531	SCN2A
ENSG00000196876	SCN8A
ENSG00000124140	SLC12A5
ENSG00000147100	SLC16A2
ENSG00000177542	SLC25A22
ENSG00000117394	SLC2A1
ENSG00000198689	SLC9A6
ENSG00000197694	SPTAN1
ENSG00000136854	STXBP1
ENSG00000197283	SYNGAP1
ENSG00000162065	TBC1D24
ENSG00000196628	TCF4
ENSG00000077721	UBE2A
ENSG00000114062	UBE3A
ENSG00000169554	ZEB2
ENSG00000106976	DNM1
ENSG00000186184	POLR1D
ENSG00000177565	TBL1XR1
ENSG00000110395	CBL
ENSG00000120903	CHRNA2
ENSG00000005339	CREBBP
ENSG00000169118	CSNK1G1
ENSG00000116641	DOCK7
ENSG00000100393	EP300
ENSG00000169710	FASN
ENSG00000136928	GABBR2
ENSG00000022355	GABRA1
ENSG00000143614	GATAD2B
ENSG00000164588	HCN1
ENSG00000158445	KCNB1
ENSG00000165195	PIGA
ENSG00000007541	PIGQ
ENSG00000172053	QARS
ENSG00000198838	RYR3
ENSG00000149212	SESN3
ENSG00000141485	SLC13A5
ENSG00000102100	SLC35A2
ENSG00000080503	SMARCA2
ENSG00000196998	WDR45
ENSG00000243989	ACY1
ENSG00000164904	ALDH7A1
ENSG00000145020	AMT
ENSG00000117713	ARID1A
ENSG00000049618	ARID1B
ENSG00000182220	ATP6AP2
ENSG00000141837	CACNA1A
ENSG00000196557	CACNA1H
ENSG00000182389	CACNB4
ENSG00000175344	CHRNA7
ENSG00000114859	CLCN2
ENSG00000188603	CLN3
ENSG00000102805	CLN5
ENSG00000128973	CLN6
ENSG00000182372	CLN8
ENSG00000157184	CPT2
ENSG00000117984	CTSD
ENSG00000077279	DCX
ENSG00000096093	EFHC1
ENSG00000109911	ELP4
ENSG00000110195	FOLR1
ENSG00000113327	GABRG2
ENSG00000130005	GAMT
ENSG00000140905	GCSH
ENSG00000131095	GFAP
ENSG00000178445	GLDC
ENSG00000087258	GNAO1
ENSG00000138796	HADH
ENSG00000153187	HNRNPU
ENSG00000124313	IQSEC2
ENSG00000120071	KANSL1
ENSG00000111262	KCNA1
ENSG00000177301	KCNA2
ENSG00000177807	KCNJ10
ENSG00000156113	KCNMA1
ENSG00000184156	KCNQ3
ENSG00000243335	KCTD7
ENSG00000121897	LIAS
ENSG00000109339	MAPK10
ENSG00000164073	MFSD8
ENSG00000177000	MTHFR
ENSG00000092621	PHGDH
ENSG00000108439	PNPO
ENSG00000131238	PPT1
ENSG00000104889	RNASEH2A
ENSG00000136104	RNASEH2B
ENSG00000172922	RNASEH2C
ENSG00000101347	SAMHD1
ENSG00000105711	SCN1B
ENSG00000169432	SCN9A
ENSG00000127990	SGCE
ENSG00000142178	SIK1
ENSG00000110436	SLC1A2
ENSG00000157103	SLC6A1
ENSG00000135917	SLC19A3
ENSG00000127616	SMARCA4
ENSG00000099956	SMARCB1
ENSG00000073584	SMARCE1
ENSG00000126091	ST3GAL3
ENSG00000116957,ENSG00000284770	TBCE
ENSG00000166340	TPP1
ENSG00000213689	TREX1
ENSG00000165699	TSC1
ENSG00000103197	TSC2
ENSG00000104763	ASAH1
ENSG00000157388	CACNA1D
ENSG00000036828	CASR
ENSG00000184144	CNTN2
ENSG00000165078	CPA6
ENSG00000160213	CSTB
ENSG00000112425	EPM2A
ENSG00000187730	GABRD
ENSG00000108433	GOSR2
ENSG00000164199	GPR98
ENSG00000134049	IER3IP1
ENSG00000129159	KCNC1
ENSG00000082212	ME2
ENSG00000042429	MED17
ENSG00000089818	NECAP1
ENSG00000187566	NHLRC1
ENSG00000197563	PIGN
ENSG00000124155	PIGT
ENSG00000139174	PRICKLE1
ENSG00000163637	PRICKLE2
ENSG00000176225	RTTN
ENSG00000138760	SCARB2
ENSG00000117620	SLC35A3
ENSG00000163877	SNIP1
ENSG00000102359	SRPX2
ENSG00000115525	ST3GAL5
ENSG00000266173	STRADA
ENSG00000099365	STX1B
ENSG00000008056	SYN1
ENSG00000198198	SZT2
ENSG00000143473	KCNH1
ENSG00000185313	SCN10A
ENSG00000050030	NEXMIF
ENSG00000115355	CCDC88A
ENSG00000100150	DEPDC5
ENSG00000260230	FRRS1L
ENSG00000138411	HECW2
ENSG00000007372	PAX6
ENSG00000185960	SHOX
ENSG00000143376	SNX27
ENSG00000171206	TRIM8
ENSG00000198860	TSEN15
ENSG00000021574	SPAST
ENSG00000197912	SPG7
ENSG00000167522	ANKRD11
ENSG00000101126	ADNP
ENSG00000126705	AHDC1
ENSG00000171456	ASXL1
ENSG00000141431	ASXL3
ENSG00000158321	AUTS2
ENSG00000119866	BCL11A
ENSG00000157764	BRAF
ENSG00000147044	CASK
ENSG00000065883	CDK13
ENSG00000198824	CHAMP1
ENSG00000111642	CHD4
ENSG00000100888	CHD8
ENSG00000149970	CNKSR2
